SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
觀音,桃園市,36,,良好,-0.2,0.12,0.2,29,39,11,4,3.1,3.4,0.3,5.1,234,2020-05-26 15:00,7,20,1,121.082761,25.035503,19
大園,桃園市,39,,良好,0.8,0.1,0.2,,42,26,,3.3,4.3,1,5.6,223,2020-05-26 15:00,11,23,3,121.201811,25.060344,18
桃園,桃園市,47,,良好,1.3,0.24,0.3,21,29,16,10,7.2,9.2,2,2.4,252,2020-05-26 15:00,15,23,3,121.304383,24.995368,17
大同,臺北市,46,,良好,2.9,0.89,1.5,-,,30,12,26,42,17,,,2020-05-26 15:00,14,31,3,121.513311,25.0632,16
松山,臺北市,44,,良好,2.3,0.39,0.5,23,40,18,13,23,33,10,1.3,244,2020-05-26 15:00,14,27,3,121.578611,25.05,15
古亭,臺北市,42,,良好,1.7,0.29,0.5,30,45,20,7,,,,2,254,2020-05-26 15:00,12,23,2,121.529556,25.020608,14
萬華,臺北市,35,,良好,1.5,0.37,0.6,25,38,20,7,16,19,3.1,1.3,287,2020-05-26 15:00,9,26,2,121.507972,25.046503,13
中山,臺北市,43,,良好,2.5,0.66,0.9,18,32,22,9,25,43,19,1.3,324,2020-05-26 15:00,13,31,3,121.526528,25.062361,12
士林,臺北市,39,,良好,2.2,0.28,0.4,28,42,17,6,14,16,2.7,1.4,308,2020-05-26 15:00,11,25,2,121.515389,25.105417,11
淡水,新北市,35,,良好,2,0.17,0.2,31,37,,,3.8,4.3,0.6,,,2020-05-26 15:00,11,20,2,121.449239,25.1645,10
林口,新北市,45,,良好,2.4,0.19,0.3,25,39,14,9,14,19,5,5,250,2020-05-26 15:00,14,23,3,121.376869,25.077197,9
菜寮,新北市,41,,良好,2,0.26,0.5,21,30,15,10,13,16,2.6,1.8,231,2020-05-26 15:00,13,26,,121.481028,25.06895,8
新莊,新北市,41,,良好,2.3,0.23,0.4,31,44,13,6,8.1,12,3.4,4,239,2020-05-26 15:00,12,23,3,121.4325,25.037972,7
板橋,新北市,37,,良好,2.2,0.25,0.4,26,39,12,7,10,12,1.7,2.2,255,2020-05-26 15:00,11,21,3,121.458667,25.012972,6
土城,新北市,41,,良好,1.3,0.23,0.4,28,44,22,11,13,17,4.2,2.2,198,2020-05-26 15:00,13,27,2,121.451861,24.982528,5
新店,新北市,43,,良好,1.2,0.22,0.4,32,46,13,7,10,12,1.8,1.7,338,2020-05-26 15:00,10,19,2,121.537778,24.977222,4
萬里,新北市,38,,良好,4,0.21,0.2,48,41,21,11,7.5,9.9,2.3,2.5,223,2020-05-26 15:00,9,20,4,121.689881,25.179667,3
汐止,新北市,49,,良好,2.5,0.33,0.5,24,37,26,12,23,27,4.4,2.1,259,2020-05-26 15:00,15,31,2,121.6423,25.067131,2
基隆,基隆市,36,,良好,,,0.3,,35,,10,,,,2.1,265,2020-05-26 15:00,11,22,1,121.760056,25.129167,1
